,actor,object,verb,timestamp
153,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:31.266
154,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:32.264
155,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:33.266
156,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:34.269
157,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:35.270
158,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:36.278
159,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:37.279
160,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:38.291
161,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:39.292
162,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:40.298
163,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:41.313
164,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:42.308
165,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:43.825
166,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:44.818
167,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:45.834
168,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,중지,2022-02-06T17:28:46.857
169,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:46.857
170,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,퀴즈/메시지 등장,2022-02-06T17:28:46.863
171,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,퀴즈 정답,2022-02-06T17:28:48.160
172,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,실행,2022-02-06T17:28:48.202
173,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:48.339
174,1,Using fractions as division to create mixed numbers | Fractions | 5th grade | Khan Academy,시청중,2022-02-06T17:28:49.365
175,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청기록,2022-02-18T14:40:53.858
176,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:40:54.895
177,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),실행,2022-02-18T14:40:55.911
178,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:40:57.417
179,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:40:57.910
180,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:40:58.914
181,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:00.416
182,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:00.924
183,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:02.428
184,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:03.439
185,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:04.442
186,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:04.943
187,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:05.950
188,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),퀴즈/메시지 등장,2022-02-18T14:41:05.956
189,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),중지,2022-02-18T14:41:06.461
190,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),퀴즈 오답,2022-02-18T14:41:07.395
191,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),실행,2022-02-18T14:41:07.430
192,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:07.964
193,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:08.967
194,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:09.970
195,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),중지,2022-02-18T14:41:10.972
196,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:10.973
197,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),퀴즈/메시지 등장,2022-02-18T14:41:10.974
198,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),퀴즈 오답,2022-02-18T14:41:13.276
199,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),실행,2022-02-18T14:41:13.319
200,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:13.982
201,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:14.989
202,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:15.991
203,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:16.993
204,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:17.994
205,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:19.006
206,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:20.007
207,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:21.005
208,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),중지,2022-02-18T14:41:21.990
209,0,[LIVE] 윤종신 - 바다 이야기(行步 2019 윤종신 2CD ‘Shape of Water LIVE’),시청중,2022-02-18T14:41:22.006
